iter	Passed	Remaining
662	8315	92020
663	8333	92071
664	8352	92124
665	8370	92174
666	8388	92224
667	8407	92278
668	8425	92331
669	8445	92392
670	8463	92446
671	8482	92502
672	8501	92553
673	8519	92605
674	8538	92656
675	8557	92710
676	8576	92772
677	8595	92824
678	8614	92880
679	8633	92931
680	8652	92990
681	8671	93041
682	8688	93085
683	8707	93132
684	8725	93176
685	8744	93228
686	8763	93281
687	8781	93330
688	8800	93377
689	8819	93436
690	8838	93492
691	8857	93546
692	8877	93602
693	8896	93653
694	8914	93702
695	8933	93748
696	8952	93797
697	8970	93846
698	8989	93897
699	9008	93944
700	9026	93991
701	9045	94036
702	9063	94081
703	9082	94126
704	9100	94170
705	9119	94214
706	9138	94266
707	9156	94310
708	9174	94350
709	9193	94392
710	9212	94439
711	9231	94491
712	9250	94537
713	9268	94582
714	9287	94626
715	9305	94668
716	9324	94713
717	9343	94760
718	9361	94801
719	9380	94851
720	9400	94901
721	9417	94934
722	9436	94979
723	9455	95023
724	9474	95067
725	9492	95108
726	9510	95149
727	9529	95191
728	9548	95234
729	9567	95280
730	9585	95320
731	9604	95360
732	9622	95400
733	9641	95440
734	9660	95484
735	9678	95526
736	9697	95570
737	9716	95611
738	9734	95648
739	9753	95691
740	9772	95729
741	9790	95769
742	9809	95813
743	9829	95859
744	9847	95899
745	9866	95943
746	9885	95982
747	9903	96018
748	9922	96058
749	9941	96097
750	9959	96137
751	9978	96175
752	9997	96219
753	10016	96258
754	10034	96290
755	10053	96330
756	10071	96368
757	10090	96402
758	10108	96436
759	10127	96476
760	10145	96513
761	10164	96548
762	10182	96582
763	10201	96619
764	10220	96662
765	10238	96690
766	10256	96720
767	10274	96752
768	10293	96788
769	10311	96819
770	10330	96855
771	10348	96892
772	10367	96928
773	10386	96963
774	10404	96997
775	10423	97034
776	10441	97068
777	10460	97102
778	10479	97140
779	10498	97173
780	10516	97210
781	10536	97249
782	10555	97288
783	10574	97325
784	10592	97360
785	10611	97397
786	10631	97435
787	10649	97469
788	10668	97505
789	10687	97536
790	10706	97572
791	10724	97603
792	10742	97635
793	10761	97664
794	10779	97697
795	10798	97729
796	10816	97757
797	10835	97788
798	10853	97821
799	10872	97852
800	10891	97889
801	10909	97917
802	10928	97947
803	10946	97977
804	10964	98003
805	10983	98036
806	11002	98066
807	11020	98096
808	11038	98120
809	11056	98147
810	11075	98173
811	11093	98202
812	11112	98234
813	11130	98257
814	11149	98290
815	11168	98322
816	11186	98349
817	11204	98375
818	11223	98406
819	11242	98440
820	11261	98477
821	11280	98501
822	11299	98534
823	11317	98564
824	11336	98596
825	11355	98627
826	11374	98652
827	11392	98680
828	11411	98709
829	11429	98732
830	11448	98761
831	11466	98790
832	11485	98818
833	11503	98843
834	11522	98873
835	11541	98899
836	11560	98930
837	11578	98953
838	11596	98976
839	11614	98996
840	11632	99021
841	11651	99048
842	11668	99061
843	11686	99086
844	11704	99109
845	11724	99141
846	11741	99161
847	11760	99186
848	11779	99214
849	11797	99235
850	11815	99260
851	11834	99285
852	11853	99314
853	11871	99339
854	11890	99368
855	11908	99383
856	11926	99404
857	11944	99429
858	11962	99442
859	11980	99470
860	11999	99495
861	12018	99524
862	12037	99549
863	12056	99576
864	12074	99598
865	12093	99620
866	12111	99641
867	12129	99664
868	12148	99687
869	12166	99713
870	12186	99742
871	12204	99763
872	12222	99784
873	12241	99805
874	12258	99821
875	12277	99846
876	12296	99870
877	12314	99888
878	12333	99916
879	12352	99942
880	12370	99964
881	12389	99986
882	12407	100007
883	12425	100025
884	12444	100045
885	12462	100066
886	12481	100092
887	12500	100114
888	12519	100140
889	12537	100161
890	12556	100180
891	12574	100199
892	12593	100223
893	12612	100247
894	12630	100271
895	12648	100286
896	12667	100306
897	12686	100334
898	12706	100363
899	12724	100386
900	12744	100411
901	12762	100430
902	12781	100454
903	12800	100475
904	12818	100497
905	12837	100517
906	12855	100537
907	12875	100562
908	12894	100584
909	12913	100610
910	12931	100628
911	12950	100648
912	12969	100669
913	12987	100685
914	13005	100704
915	13024	100722
916	13042	100742
917	13060	100758
918	13078	100775
919	13097	100792
920	13115	100811
921	13133	100826
922	13151	100839
923	13170	100858
924	13188	100875
925	13207	100898
926	13226	100920
927	13245	100939
928	13264	100960
929	13283	100981
930	13301	100997
931	13320	101014
932	13338	101031
933	13357	101053
934	13376	101073
935	13395	101092
936	13413	101111
937	13432	101128
938	13450	101146
939	13469	101162
940	13487	101179
941	13506	101194
942	13524	101207
943	13542	101226
944	13561	101241
945	13579	101255
946	13598	101277
947	13616	101293
948	13634	101305
949	13653	101320
950	13672	101342
951	13691	101362
952	13710	101380
953	13728	101398
954	13747	101415
955	13765	101429
956	13784	101447
957	13802	101461
958	13821	101476
959	13840	101495
960	13858	101512
961	13877	101527
962	13895	101542
963	13915	101562
964	13933	101580
965	13953	101601
966	13972	101620
967	13990	101635
968	14009	101648
969	14027	101662
970	14045	101675
971	14062	101678
972	14080	101692
973	14098	101703
974	14116	101707
975	14134	101722
976	14152	101734
977	14171	101750
978	14190	101765
979	14209	101782
980	14227	101797
981	14245	101809
982	14264	101824
983	14282	101837
984	14301	101855
985	14320	101871
986	14339	101888
987	14358	101905
988	14376	101917
989	14395	101932
990	14414	101948
991	14433	101963
992	14452	101980
993	14470	101994
994	14489	102007
995	14507	102021
996	14526	102036
997	14545	102049
998	14563	102063
999	14582	102077
1000	14601	102092
1001	14619	102103
1002	14637	102114
1003	14656	102129
1004	14674	102138
1005	14693	102150
1006	14711	102162
1007	14730	102180
1008	14749	102191
1009	14767	102200
1010	14785	102212
1011	14804	102226
1012	14823	102241
1013	14841	102254
1014	14860	102267
1015	14878	102274
1016	14896	102286
1017	14915	102298
1018	14934	102310
1019	14952	102323
1020	14971	102334
1021	14989	102347
1022	15007	102356
1023	15026	102369
1024	15044	102378
1025	15063	102391
1026	15082	102404
1027	15101	102417
1028	15119	102424
1029	15137	102433
1030	15155	102444
1031	15173	102450
1032	15192	102465
1033	15211	102478
1034	15229	102489
1035	15248	102498
1036	15267	102513
1037	15285	102524
1038	15304	102536
1039	15323	102549
1040	15340	102551
1041	15359	102560
1042	15378	102574
1043	15396	102583
1044	15414	102592
1045	15433	102603
1046	15452	102616
1047	15469	102617
1048	15487	102627
1049	15506	102639
1050	15525	102648
1051	15544	102662
