Training X size: (10000, 300)
Trial 182: Permutated mmd = 0.000595049504950929
Trial 183: Permutated mmd = 0.0005950495049509343
Trial 184: Permutated mmd = 0.0005950495049484465
Trial 185: Permutated mmd = 0.0005950495049509351
Trial 186: Permutated mmd = 0.0005950495049509105
Trial 187: Permutated mmd = 0.0005950495049483449
Trial 188: Permutated mmd = 0.0005950495049509337
Trial 189: Permutated mmd = 0.0005950495049509273
Trial 190: Permutated mmd = 0.000595049504950903
Trial 191: Permutated mmd = 0.0005950495049483431
Trial 192: Permutated mmd = 0.0005950495049483397
Trial 193: Permutated mmd = 0.0005950495049509153
Trial 194: Permutated mmd = 0.0005950495049509364
Trial 195: Permutated mmd = 0.0005950495049509356
Trial 196: Permutated mmd = 0.0005950495049509358
Trial 197: Permutated mmd = 0.0005950495049509278
Trial 198: Permutated mmd = 0.0005950495049509153
Trial 199: Permutated mmd = 0.0005950495049483451
Trial 200: Permutated mmd = 0.0005950495049509105
Trial 201: Permutated mmd = 0.0005950495049483491
Trial 202: Permutated mmd = 0.0005950495049509122
Trial 203: Permutated mmd = 0.0005950495049509357
Trial 204: Permutated mmd = 0.0005950495049483539
Trial 205: Permutated mmd = 0.000595049504948314
Trial 206: Permutated mmd = 0.0005950495049483698
Trial 207: Permutated mmd = 0.0005950495049483439
Trial 208: Permutated mmd = 0.0005950495049611426
Trial 209: Permutated mmd = 0.0005950495049483443
Trial 210: Permutated mmd = 0.0005950495049509106
Trial 211: Permutated mmd = 0.0005950495049509073
Trial 212: Permutated mmd = 0.0005950495049509081
Trial 213: Permutated mmd = 0.0005950495049509343
Trial 214: Permutated mmd = 0.0005950495049483236
Trial 215: Permutated mmd = 0.0005950495049483498
Trial 216: Permutated mmd = 0.0005950495049483447
Trial 217: Permutated mmd = 0.0005950495049509349
Trial 218: Permutated mmd = 0.0005950495049509314
Trial 219: Permutated mmd = 0.0005950495049483165
Trial 220: Permutated mmd = 0.0005950495049483144
Trial 221: Permutated mmd = 0.0005950495049483472
Trial 222: Permutated mmd = 0.0005950495049509286
Trial 223: Permutated mmd = 0.0005950495049483205
Trial 224: Permutated mmd = 0.0005950495049483501
Trial 225: Permutated mmd = 0.0005950495049509363
Trial 226: Permutated mmd = 0.0005950495049509294
Trial 227: Permutated mmd = 0.0005950495049509381
Trial 228: Permutated mmd = 0.0005950495049509097
Trial 229: Permutated mmd = 0.0005950495049483487
Trial 230: Permutated mmd = 0.0005950495049509388
Trial 231: Permutated mmd = 0.0005950495049509354
Trial 232: Permutated mmd = 0.0005950495049509355
Trial 233: Permutated mmd = 0.0005950495049509234
Trial 234: Permutated mmd = 0.0005950495049509262
Trial 235: Permutated mmd = 0.000595049504950936
Trial 236: Permutated mmd = 0.000595049504950925
Trial 237: Permutated mmd = 0.000595049504950936
Trial 238: Permutated mmd = 0.0005950495049509336
Trial 239: Permutated mmd = 0.0005950495049509353
Trial 240: Permutated mmd = 0.0005950495049483485
Trial 241: Permutated mmd = 0.0005950495049509373
Trial 242: Permutated mmd = 0.0005950495049509332
Trial 243: Permutated mmd = 0.0005950495049509302
Trial 244: Permutated mmd = 0.000595049504950934
Trial 245: Permutated mmd = 0.0005950495049509094
Trial 246: Permutated mmd = 0.0005950495049509302
Trial 247: Permutated mmd = 0.0005950495049483169
Trial 248: Permutated mmd = 0.0005950495049483444
Trial 249: Permutated mmd = 0.0005950495049483488
Trial 250: Permutated mmd = 0.0005950495049509344
Trial 251: Permutated mmd = 0.0005950495049509285
Trial 252: Permutated mmd = 0.0005950495049483431
Trial 253: Permutated mmd = 0.0005950495049509314
Trial 254: Permutated mmd = 0.0005950495049509036
Trial 255: Permutated mmd = 0.000595049504948345
Trial 256: Permutated mmd = 0.0005950495049483201
Trial 257: Permutated mmd = 0.0005950495049483437
Trial 258: Permutated mmd = 0.0005950495049509312
Trial 259: Permutated mmd = 0.0005950495049509349
Trial 260: Permutated mmd = 0.0005950495049509346
Trial 261: Permutated mmd = 0.0005950495049509362
Trial 262: Permutated mmd = 0.0005950495049483448
Trial 263: Permutated mmd = 0.0005950495049509353
Trial 264: Permutated mmd = 0.0005950495049509365
Trial 265: Permutated mmd = 0.0005950495049509328
Trial 266: Permutated mmd = 0.0005950495049509326
Trial 267: Permutated mmd = 0.0005950495049509346
Trial 268: Permutated mmd = 0.0005950495049509365
Trial 269: Permutated mmd = 0.0005950495049509331
Trial 270: Permutated mmd = 0.0005950495049483708
Trial 271: Permutated mmd = 0.0005950495049509393
Trial 272: Permutated mmd = 0.0005950495049483503
Trial 273: Permutated mmd = 0.0005950495049509249
Trial 274: Permutated mmd = 0.0005950495049509329
Trial 275: Permutated mmd = 0.0005950495049509355
Trial 276: Permutated mmd = 0.0005950495049509311
Trial 277: Permutated mmd = 0.0005950495049509355
Trial 278: Permutated mmd = 0.0005950495049509289
Trial 279: Permutated mmd = 0.0005950495049509083
Trial 280: Permutated mmd = 0.0005950495049483234
Trial 281: Permutated mmd = 0.0005950495049611438
Trial 282: Permutated mmd = 0.000595049504950952
Trial 283: Permutated mmd = 0.0005950495049483456
Trial 284: Permutated mmd = 0.0005950495049483179
Trial 285: Permutated mmd = 0.000595049504948323
Trial 286: Permutated mmd = 0.0005950495049509097
Trial 287: Permutated mmd = 0.0005950495049509347
Trial 288: Permutated mmd = 0.0005950495049509339
Trial 289: Permutated mmd = 0.0005950495049483452
Trial 290: Permutated mmd = 0.0005950495049483691
Trial 291: Permutated mmd = 0.0005950495049509337
Trial 292: Permutated mmd = 0.0005950495049509347
Trial 293: Permutated mmd = 0.0005950495049509085
Trial 294: Permutated mmd = 0.0005950495049483429
Trial 295: Permutated mmd = 0.0005950495049483452
Trial 296: Permutated mmd = 0.000595049504950911
Trial 297: Permutated mmd = 0.0005950495049509098
Trial 298: Permutated mmd = 0.0005950495049483137
Trial 299: Permutated mmd = 0.0005950495049483242
Trial 300: Permutated mmd = 0.000595049504951025
Trial 301: Permutated mmd = 0.0005950495049509257
Trial 302: Permutated mmd = 0.0005950495049509303
Trial 303: Permutated mmd = 0.0005950495049509369
Trial 304: Permutated mmd = 0.0005950495049510312
Trial 305: Permutated mmd = 0.000595049504950934
